SoilderID,Type,Level,Name,Description,HealthPoint,Damage,AttackSpeed,ShootRange,LabLevelRequire,GoldRequire
10101,1,1,人类士兵,人类士兵，近战型士兵。,200,50,1,50,2,1000
10102,1,2,人类士兵,人类士兵，近战型士兵。,220,52,1,50,3,1500
10103,1,3,人类士兵,人类士兵，近战型士兵。,250,55,1,50,4,2000
10104,1,4,人类士兵,人类士兵，近战型士兵。,280,58,1,50,5,2500
10105,1,5,人类士兵,人类士兵，近战型士兵。,320,60,1,50,6,9999
10201,2,1,精灵弓箭手,精灵弓箭手，远程型士兵。,120,60,1,300,2,1200
10202,2,2,精灵弓箭手,精灵弓箭手，远程型士兵。,140,65,1,300,3,1700
10203,2,3,精灵弓箭手,精灵弓箭手，远程型士兵。,160,70,1,300,4,2300
10204,2,4,精灵弓箭手,精灵弓箭手，远程型士兵。,180,75,1,300,5,3000
10205,2,5,精灵弓箭手,精灵弓箭手，远程型士兵。,200,80,1,300,6,9999
10301,3,1,矮人炮手,矮人炮手，远程，杀伤力大，但血量较少。,80,90,1,500,2,1500
10302,3,2,矮人炮手,矮人炮手，远程，杀伤力大，但血量较少。,85,110,1,500,3,2000
10303,3,3,矮人炮手,矮人炮手，远程，杀伤力大，但血量较少。,90,140,1,500,4,2800
10304,3,4,矮人炮手,矮人炮手，远程，杀伤力大，但血量较少。,95,170,1,500,5,3500
10305,3,5,矮人炮手,矮人炮手，远程，杀伤力大，但血量较少。,100,200,1,500,6,9999
10401,4,1,兽人肉盾,兽人肉盾，近战，伤害小，但十分耐抗。,500,25,1,50,2,2000
10402,4,2,兽人肉盾,兽人肉盾，近战，伤害小，但十分耐抗。,600,27,1,50,3,2500
10403,4,3,兽人肉盾,兽人肉盾，近战，伤害小，但十分耐抗。,700,29,1,50,4,3000
10404,4,4,兽人肉盾,兽人肉盾，近战，伤害小，但十分耐抗。,800,32,1,50,5,4000
10405,4,5,兽人肉盾,兽人肉盾，近战，伤害小，但十分耐抗。,1000,35,1,50,6,9999
